date,temperature,humidity,luminosity
2023-12-07 16:05:44.071,21.9,37.1,108
2023-12-07 16:05:43.063,21.9,37.3,107
2023-12-07 16:05:42.064,21.9,37.3,107
2023-12-07 16:05:41.052,21.9,37.4,107
2023-12-07 16:05:40.052,21.9,37.4,109
2023-12-07 16:05:39.041,21.9,37.5,112
2023-12-07 16:05:38.041,21.9,37.5,113
2023-12-07 16:05:37.033,21.9,37.7,112
2023-12-07 16:05:36.030,21.9,37.7,113
2023-12-07 16:05:35.022,21.9,37.8,113
2023-12-07 16:05:34.018,21.9,37.8,113
2023-12-07 16:05:33.010,21.9,38.0,112
2023-12-07 16:05:32.007,21.9,38.0,113
2023-12-07 16:05:31.000,21.9,38.3,113
2023-12-07 16:05:30.000,21.9,38.3,113
2023-12-07 16:05:28.988,21.9,38.6,113
2023-12-07 16:05:27.989,21.9,38.6,113
2023-12-07 16:05:26.977,21.9,38.6,112
2023-12-07 16:05:25.977,21.9,38.6,111
2023-12-07 16:05:24.969,21.9,38.7,112
2023-12-07 16:05:23.966,21.9,38.7,112
2023-12-07 16:05:22.958,21.9,38.7,113
2023-12-07 16:05:21.955,21.9,38.7,113
2023-12-07 16:05:20.947,21.9,38.5,113
2023-12-07 16:05:19.943,21.9,38.5,112
2023-12-07 16:05:18.935,21.9,37.9,111
2023-12-07 16:05:17.936,21.9,37.9,112
2023-12-07 16:05:16.924,21.9,38.3,112
2023-12-07 16:05:15.925,21.9,38.3,113
2023-12-07 16:05:14.913,21.9,38.7,114
2023-12-07 16:05:13.913,21.9,38.7,113
2023-12-07 16:05:12.905,21.9,38.9,116
2023-12-07 16:05:11.901,21.9,38.9,117
2023-12-07 16:05:10.894,21.9,38.9,117
2023-12-07 16:05:09.890,21.9,38.9,118
2023-12-07 16:05:08.882,21.9,38.6,113
2023-12-07 16:05:07.879,21.9,38.6,114
2023-12-07 16:05:06.871,21.9,38.3,110
2023-12-07 16:05:05.872,21.9,38.3,110
2023-12-07 16:05:04.860,21.9,38.2,109
2023-12-07 16:05:03.859,21.9,38.2,110
2023-12-07 16:05:02.847,21.9,37.9,109
2023-12-07 16:05:01.848,21.9,37.9,109
2023-12-07 16:05:00.840,21.9,38.0,110
2023-12-07 16:04:59.836,21.9,38.0,110
2023-12-07 16:04:58.829,21.9,38.2,110
2023-12-07 16:04:57.825,21.9,38.2,109
2023-12-07 16:04:56.818,21.9,38.3,109
2023-12-07 16:04:55.814,21.9,38.3,109
2023-12-07 16:04:54.806,21.9,37.7,110
2023-12-07 16:04:53.803,21.9,37.7,109
2023-12-07 16:04:52.795,21.9,36.3,110
2023-12-07 16:04:51.795,21.9,36.3,109
2023-12-07 16:04:50.784,21.9,36.3,108
2023-12-07 16:04:49.784,21.9,36.3,109
2023-12-07 16:04:48.776,21.9,36.0,110
2023-12-07 16:04:47.772,21.9,36.0,110
2023-12-07 16:04:46.765,21.9,36.1,108
2023-12-07 16:04:45.761,21.9,36.1,108
2023-12-07 16:04:44.754,21.9,36.0,108
2023-12-07 16:04:43.750,21.9,36.0,109
2023-12-07 16:04:42.742,21.9,35.3,109
2023-12-07 16:04:41.742,21.9,35.3,109
2023-12-07 16:04:40.731,21.9,35.2,109
2023-12-07 16:04:39.731,21.9,35.2,109
2023-12-07 16:04:38.724,21.9,35.1,109
2023-12-07 16:04:37.720,21.9,35.1,93
2023-12-07 16:04:36.708,21.9,35.1,81
2023-12-07 16:04:35.709,21.9,35.1,84
2023-12-07 16:04:34.701,21.9,35.1,97
2023-12-07 16:04:33.697,21.9,35.1,108
2023-12-07 16:04:32.689,21.9,35.1,93
2023-12-07 16:04:31.685,21.9,35.1,108
2023-12-07 16:04:30.678,21.9,35.0,107
2023-12-07 16:04:29.675,21.9,35.0,105
2023-12-07 16:04:28.667,21.9,35.0,84
2023-12-07 16:04:27.667,21.9,35.0,107
2023-12-07 16:04:26.655,21.9,35.0,92
2023-12-07 16:04:25.656,21.9,35.0,74
2023-12-07 16:04:24.644,21.9,35.0,74
2023-12-07 16:04:23.645,21.9,35.0,75
2023-12-07 16:04:22.636,21.9,35.1,82
2023-12-07 16:04:21.633,21.9,35.1,108
2023-12-07 16:04:20.625,21.9,35.2,108
2023-12-07 16:04:19.622,21.9,35.2,110
2023-12-07 16:04:18.614,21.9,35.2,109
2023-12-07 16:04:17.614,21.9,35.2,108
2023-12-07 16:04:16.603,21.9,35.3,108
2023-12-07 16:04:15.603,21.9,35.3,108
2023-12-07 16:04:14.595,21.9,35.4,109
2023-12-07 16:04:13.592,21.9,35.4,109
2023-12-07 16:04:12.584,21.9,35.5,108
2023-12-07 16:04:11.581,21.9,35.5,108
2023-12-07 16:04:10.573,21.9,35.6,112
2023-12-07 16:04:09.569,21.9,35.6,113
2023-12-07 16:04:08.561,21.9,35.7,113
2023-12-07 16:04:07.558,21.9,35.7,112
2023-12-07 16:04:06.550,21.9,35.8,112
2023-12-07 16:04:05.550,21.9,35.8,112
2023-12-07 16:04:04.538,21.9,35.9,112
2023-12-07 16:04:03.537,21.9,35.9,112
2023-12-07 16:04:02.529,21.9,35.7,111
2023-12-07 16:04:01.525,21.9,35.7,109
2023-12-07 16:04:00.518,21.9,35.5,108
2023-12-07 16:03:59.514,21.9,35.5,112
2023-12-07 16:03:58.507,21.9,35.6,113
